date,Temp,temp500,temp700,temp850,temp925,dlwrf,mslp,P300,P500,P850,R500,R850,rhum,shum300,shum400,shum500,shum700,shum850,shum925,Tas,U500,U700,U850,U925,Uas,ulwrf,V500,V700,V850,V925,Vas,uswrf,dswrf,rainfall,clazz
1964-07-01,300.330017089844,269.299987792969,284.850006103516,292.929992675781,296.160003662109,422.599853515625,100595,9717,5870,1484,24.5,64.510009765625,82.2599945068359,0.000515002757310867,0.00138400122523308,0.00140000134706497,0.00705000199377537,0.0109180007129908,0.0140430014580488,301.359985351562,-5.68998718261719,-1.93998718261719,1.66000366210938,-0.189987182617188,-0.270004272460938,457.099853515625,6.06001281738281,8.03001403808594,7.41000366210938,8.760009765625,7.36000061035156,36.599853515625,256.599853515625,1.618,1
1964-07-02,299.830017089844,267.650024414062,283.75,292.25,295.830017089844,413.599853515625,100978,9704,5873,1511,25.5,64.010009765625,85.2599945068359,0.000815000385046005,0.00154400244355202,0.00128300115466118,0.00512500107288361,0.0103880017995834,0.0129810012876987,300.279998779297,-4.739990234375,-0.79998779296875,1.31001281738281,1.11000061035156,-0.819992065429688,457.300048828125,1.93000793457031,3.58000183105469,3.61000061035156,4.23001098632812,4.58000183105469,37.800048828125,266.099853515625,1.63,1
1964-07-03,299.529998779297,268.280029296875,283.549987792969,291.75,295.030029296875,405.099853515625,101155,9715,5882,1518,34,66.260009765625,82.5099945068359,0.000725001096725464,0.00177600234746933,0.00180100090801716,0.00532800145447254,0.0104330014437437,0.0122050009667873,299.859985351562,-4.28999328613281,-1.93998718261719,-2.39999389648438,-1.66999816894531,-1.75,457.300048828125,-0.639999389648438,-4.28999328613281,-4.1199951171875,-3.78999328613281,-2.63999938964844,41.099853515625,289.599853515625,1.556,1
1964-07-04,299.899993896484,269.400024414062,283.480010986328,292.160003662109,295.230010986328,415.300048828125,100858,9709,5861,1494,28.75,65.510009765625,80.7599945068359,0.000796999782323837,0.0015610009431839,0.00165200233459473,0.00724500231444836,0.0105660017579794,0.0127250012010336,299.97998046875,-1.78999328613281,1.98001098632812,2.28001403808594,1.91000366210938,2.50999450683594,457.599853515625,1.18000793457031,-2.76998901367188,-0.419998168945312,1.08000183105469,2.36000061035156,35.300048828125,249.300048828125,0,-1
1964-07-05,300.179992675781,268.530029296875,284.130004882812,292.75,295.960021972656,420.599853515625,100635,9708,5859,1482,56.760009765625,69.010009765625,82.7599945068359,0.00100599974393845,0.00193700194358826,0.00303400121629238,0.00931000150740147,0.0115630012005568,0.0131750013679266,300.580017089844,1.81001281738281,2.3800048828125,1.91000366210938,1.68000793457031,0.330001831054688,458.300048828125,2.61000061035156,2.28001403808594,4.81001281738281,6.11000061035156,6.00999450683594,35.099853515625,245.099853515625,0,-1
1964-07-06,300.209991455078,268.530029296875,284.980010986328,292.980010986328,296.330017089844,426.300048828125,100730,9707,5869,1488,59.2500152587891,63.010009765625,83.5099945068359,0.00111700221896172,0.0023760013282299,0.00318100117146969,0.00698300078511238,0.0107230022549629,0.0138700008392334,300.5,-0.239990234375,1.45001220703125,1.33000183105469,1.1300048828125,-1.22000122070312,459.300048828125,0.610000610351562,2.53001403808594,6.08000183105469,7.65000915527344,7.25,31.800048828125,216.300048828125,6.732,1
1964-07-07,300.010009765625,267.929992675781,285.330017089844,292.530029296875,295.660003662109,414.099853515625,100840,9701,5866,1494,23,63.510009765625,83.7599945068359,0.000909000635147095,0.00120600312948227,0.00117900222539902,0.00533800199627876,0.010478001087904,0.0133630018681288,300.160003662109,-3.91999816894531,-1.03999328613281,0.830001831054688,0.250015258789062,-0.0699920654296875,459.599853515625,1.35000610351562,0.610000610351562,4.33000183105469,6.65000915527344,5.55999755859375,37.800048828125,268.300048828125,18.204,1
1964-07-08,300.049987792969,268.780029296875,285.150024414062,293.080017089844,296.330017089844,404.599853515625,100708,9717,5860,1484,17,57.760009765625,82.0099945068359,0.000430002808570862,0.000807002186775208,0.000923000276088715,0.00386000238358974,0.00989000126719475,0.0122410021722317,300.210021972656,-3.96998596191406,-2.33999633789062,1.53001403808594,2.83000183105469,2.22999572753906,459.800048828125,0.280014038085938,-0.649993896484375,2.28001403808594,4.05000305175781,4.75999450683594,42.300048828125,294.300048828125,0,-1
1964-07-09,300.299987792969,270.230010986328,284.630004882812,292.600006103516,296.299987792969,404.300048828125,100625,9723,5858,1477,17.25,63.010009765625,81.2599945068359,0.000254999846220016,0.000806000083684921,0.00105200335383415,0.00392800197005272,0.0104730017483234,0.0132280010730028,300.47998046875,0.360000610351562,-0.169998168945312,3.00001525878906,5.3800048828125,4.08000183105469,460.599853515625,0.210006713867188,0.660003662109375,3.78001403808594,6.41000366210938,6.02999877929688,41.099853515625,286.300048828125,0,-1
1964-07-10,300.399993896484,269.429992675781,284.980010986328,292.910003662109,296.080017089844,409.800048828125,100680,9739,5868,1486,25.25,61.760009765625,79.0099945068359,0.000861000269651413,0.00113100185990334,0.00145300105214119,0.00513600185513496,0.0104550011456013,0.0129180010408163,301,-1.34999084472656,0.500015258789062,1.48001098632812,3.08000183105469,2.19999694824219,460.599853515625,0.0800018310546875,1.81001281738281,4.43000793457031,6.3800048828125,6.19999694824219,41.800048828125,295.800048828125,3.281,1
