date,Temp,temp500,temp700,temp850,temp925,dlwrf,mslp,P300,P500,P850,R500,R850,rhum,shum300,shum400,shum500,shum700,shum850,shum925,Tas,U500,U700,U850,U925,Uas,ulwrf,V500,V700,V850,V925,Vas,uswrf,dswrf,rainfall,clazz
1964-01-01,291.299987792969,261.25,277.330017089844,284.5,288.549987792969,375.099853515625,101928,9544,5809,1551,65.760009765625,86.760009765625,93.0099945068359,0.00027099996805191,0.000630002468824387,0.00202800147235394,0.00418100133538246,0.00851100124418736,0.00941300205886364,293.080017089844,19.9300079345703,11.1500091552734,1.28001403808594,-2.83999633789062,-3.77000427246094,410.800048828125,9.16000366210938,7.43000793457031,3.08000183105469,-1.38999938964844,-6.59999084472656,19.300048828125,110.599853515625,0.635,1
1964-01-02,289.830017089844,260.679992675781,276.580017089844,283.780029296875,286.350006103516,371.599853515625,101990,9531,5793,1546,94.260009765625,91.510009765625,92.7599945068359,0.000138003379106522,0.000932000577449799,0.00276500172913074,0.00456100143492222,0.00854600220918655,0.00947600230574608,291.380004882812,23.2300109863281,11.6100006103516,0.230010986328125,-4.26998901367188,-5.38999938964844,407.800048828125,13.4100036621094,6.6300048828125,0.360000610351562,-5.8699951171875,-9.91999816894531,11.800048828125,64.599853515625,11.366,1
1964-01-03,289.330017089844,261.5,274.850006103516,281.880004882812,284.600006103516,365.099853515625,102085,9534,5780,1542,51.0000152587891,96.510009765625,95.2599945068359,0.000167001038789749,0.000471003353595734,0.00152500160038471,0.00571300089359283,0.0079480018466711,0.00877100229263306,290.130004882812,25.3000030517578,11.3800048828125,-1.51998901367188,-7.31999206542969,-7.44000244140625,407.800048828125,11.010009765625,3.86000061035156,-0.449996948242188,-6.53999328613281,-9.38999938964844,12.099853515625,64.300048828125,2.821,1
1964-01-04,289.799987792969,262.900024414062,273.530029296875,282.25,284.429992675781,353.800048828125,102140,9554,5777,1547,18.25,91.510009765625,92.2599945068359,0.000184003263711929,0.000440001487731934,0.000649001449346542,0.00466000102460384,0.00772600062191486,0.00857800245285034,290.25,30.2000122070312,11.3100128173828,-2.01998901367188,-8.19999694824219,-7.91999816894531,408.300048828125,6.6300048828125,0.580001831054688,1.1300048828125,-4.03999328613281,-6.81999206542969,21.099853515625,122.099853515625,1.213,1
1964-01-05,289.97998046875,262.799987792969,274.5,281.780029296875,284.710021972656,352.599853515625,102143,9564,5781,1548,20,96.260009765625,94.7599945068359,0.000192001461982727,0.000329002737998962,0.000684000551700592,0.00452800095081329,0.00786600075662136,0.00877800211310387,290.47998046875,28.510009765625,12.4100036621094,1.31001281738281,-5.1199951171875,-5.99000549316406,408.599853515625,6.53001403808594,2.36000061035156,0.930007934570312,-2.8699951171875,-6.05000305175781,20.099853515625,112.300048828125,0,-1
1964-01-06,291.179992675781,262.429992675781,274.730010986328,283.75,287.059997558594,364.300048828125,101890,9566,5779,1540,32,86.510009765625,91.5099945068359,0.000230003148317337,0.000398002564907074,0.00107100233435631,0.00450500100851059,0.00806800089776516,0.00930600240826607,291.72998046875,24.0300140380859,10.1300048828125,1.41000366210938,-4.66999816894531,-6.81999206542969,409.800048828125,2.80000305175781,3.60000610351562,4.78001403808594,1.55000305175781,-0.990005493164062,22.099853515625,122.599853515625,2.195,1
1964-01-07,291.209991455078,260.960021972656,275.780029296875,284.660003662109,288.410003662109,360.599853515625,101683,9536,5767,1527,24.5,80.510009765625,96.2599945068359,9.50023531913757e-05,0.000236000865697861,0.00074000284075737,0.00368800200521946,0.00798500142991543,0.00971000082790852,292.160003662109,22.0300140380859,8.65000915527344,1.61000061035156,-2.78999328613281,-2.1199951171875,410.099853515625,4.83000183105469,3.83000183105469,3.05000305175781,1.28001403808594,-2.30000305175781,25.099853515625,141.300048828125,0,-1
1964-01-08,290.359985351562,261.549987792969,278.100006103516,283.630004882812,286.410003662109,349.800048828125,101890,9530,5792,1533,30,70.260009765625,91.0099945068359,0.000127002596855164,0.000300999730825424,0.000978000462055206,0.00220000185072422,0.00650800205767155,0.00907100178301334,291.299987792969,16.010009765625,6.78001403808594,-0.8699951171875,-4.24998474121094,-3.3699951171875,409.099853515625,-6.29998779296875,0.480010986328125,-1.56999206542969,-5.1199951171875,-5.63999938964844,27.599853515625,159.300048828125,0,-1
1964-01-09,289.849975585938,262.25,278.350006103516,281.280029296875,284.350006103516,344.800048828125,102018,9534,5800,1537,26.25,89.510009765625,88.7599945068359,7.90022313594818e-05,0.000409003347158432,0.000876002013683319,0.00271500088274479,0.00706600211560726,0.0083910021930933,290.679992675781,17.9100036621094,8.91000366210938,-2.489990234375,-7.76998901367188,-6.8699951171875,407.800048828125,-2.93998718261719,1.50001525878906,-0.0699920654296875,-4.99998474121094,-7.16999816894531,30.099853515625,168.099853515625,0,-1
1964-01-10,290.799987792969,263.910003662109,278.030029296875,281.5,284.75,363.099853515625,101905,9556,5807,1535,32.25,92.010009765625,89.2599945068359,0.000182002782821655,0.000504001975059509,0.00119700282812119,0.00241000205278397,0.00737300142645836,0.00820800103247166,291.460021972656,15.6300048828125,7.96000671386719,-1.89999389648438,-6.6199951171875,-6.34999084472656,408.599853515625,0.310012817382812,3.41000366210938,3.68000793457031,1.36000061035156,-0.520004272460938,20.300048828125,115.099853515625,0,-1
